,actors,number_of_movies,average_revenue,average_revenue (shifted)
791,Maggie Roswell,2,266775523.0,533551046
792,Philip Rosenthal,1,527068851.0,527068851
793,Jim Carrey,30,170028683.3,5100860498
794,Kate Winslet,26,141318976.1,3674293379
795,Kirsten Dunst,30,138877647.4,4166329422
796,Mark Ruffalo,29,213304371.3,6185826768
797,Elijah Wood,24,238221665.1,5717319963
798,Tom Wilkinson,32,120819430.8,3866221784
799,Jane Adams,10,56757590.0,567575900
800,David Cross,21,251394089.0,5279275870
801,Deirdre O'Connell,6,36304652.17,217827913
802,Thomas Jay Ryan,1,72258126.0,72258126
803,Ryan Whitney,1,72258126.0,72258126
804,Lola Daehler,1,72258126.0,72258126
805,Debbon Ayer,3,33977045.67,101931137
806,Gerry Robert Byrne,1,72258126.0,72258126
807,Brian Price,2,49485656.5,98971313
808,Josh Flitter,4,113533635.3,454134541
809,Paul Litowsky,1,72258126.0,72258126
810,Amir Ali Said,2,128317190.0,256634380
811,Lauren Adler,2,101770537.5,203541075
812,Gael Garca Bernal,6,43248607.0,259491642
813,Vanessa Bauche,2,16472308.0,32944616
814,Goya Toledo,1,20908467.0,20908467
815,Alvaro Guerrero,1,20908467.0,20908467
816,Emilio Echevarra,5,129529283.6,647646418
817,Jorge Salinas,1,20908467.0,20908467
818,Rodrigo Murray,1,20908467.0,20908467
819,Humberto Busto,1,20908467.0,20908467
820,Gerardo Campbell,1,20908467.0,20908467
821,Rosa Mara Bianchi,1,20908467.0,20908467
822,Dunia Saldvar,1,20908467.0,20908467
823,Adriana Barraza,7,103734166.1,726139163
824,Jos Sefami,1,20908467.0,20908467
825,Lourdes Echevarra,1,20908467.0,20908467
826,Marco Prez,1,20908467.0,20908467
827,Laura Almela,1,20908467.0,20908467
828,Gustavo Snchez Parra,3,97867415.33,293602246
829,Dagoberto Gama,2,11651733.5,23303467
830,Rodrigo Ostap,1,20908467.0,20908467
831,Patricio Castillo,1,20908467.0,20908467
832,Roberto Medina,2,40668153.0,81336306
833,Carlos Samperio,1,20908467.0,20908467
834,Mauricio Martnez,1,20908467.0,20908467
835,Ricardo Dalmacci,1,20908467.0,20908467
836,Gustavo Muoz,1,20908467.0,20908467
837,Bill Nighy,32,186097913.7,5955133237
838,Tom Hollander,15,234950954.5,3524264318
839,Naomie Harris,13,363176336.6,4721292376
840,David Schofield,9,313700270.6,2823302435
841,Alex Norton,3,484570466.3,1453711399
842,Dermot Keaney,1,1065659812.0,1065659812
843,Andy Beckwith,6,436389229.2,2618335375
844,Clive Ashborn,2,599085423.5,1198170847
845,Reggie Lee,9,458822570.3,4129403133
846,Jonathan Linsley,1,1065659812.0,1065659812
847,John Boswall,3,377878709.7,1133636129
848,Max Baker,7,248424128.6,1738968900
849,Steve Speirs,6,388026475.2,2328158851
850,Jonathan Kite,1,1065659812.0,1065659812
851,Ho-Kwan Tse,3,687073463.0,2061220389
852,Peter Donald Badalamenti II,5,575911059.8,2879555299
853,Viggo Mortensen,22,177523330.7,3905513276
854,Maria Bello,21,98782517.52,2074432868
855,Heidi Hayes,1,60740827.0,60740827
856,Ashton Holmes,3,23777597.0,71332791
857,William Hurt,24,130128890.3,3123093367
858,Ed Harris,33,112169648.4,3701598397
859,Peter MacNeill,5,67076655.2,335383276
860,Stephen McHattie,11,151378913.1,1665168044
861,Greg Bryk,5,100256301.8,501281509
862,Kyle Schmid,4,62599559.75,250398239
863,Sumela Kay,2,178540177.0,357080354
864,Gerry Quigley,4,47379394.0,189517576
865,Deborah Drakeford,1,60740827.0,60740827
866,Bill MacDonald,3,31092384.33,93277153
867,Aidan Devine,4,228348664.0,913394656
868,Keir Dullea,4,42609969.25,170439877
869,Gary Lockwood,1,68700000.0,68700000
870,William Sylvester,1,68700000.0,68700000
871,Douglas Rain,2,54550328.5,109100657
872,Daniel Richter,1,68700000.0,68700000
873,Leonard Rossiter,4,39984019.5,159936078
874,Margaret Tyzack,3,61863758.33,185591275
875,Robert Beatty,3,36333333.33,109000000
876,Sean Sullivan,7,52343130.43,366401913
877,Frank Miller,4,111411218.8,445644875
878,Ed Bishop,1,68700000.0,68700000
879,Edwina Carroll,1,68700000.0,68700000
880,Penny Brahms,1,68700000.0,68700000
881,Heather Downham,1,68700000.0,68700000
882,Maggie d'Abo,1,68700000.0,68700000
883,Chela Matthison,1,68700000.0,68700000
884,Judy Kiern,1,68700000.0,68700000
885,Alan Gifford,1,68700000.0,68700000
886,Ann Gillis,2,168073575.0,336147150
887,Vivian Kubrick,2,57528838.0,115057676
888,Kenneth Kendall,1,68700000.0,68700000
889,Glenn Beck,3,178501146.7,535503440
890,Mike Lovell,1,68700000.0,68700000
891,John Ashley,2,39350000.0,78700000
892,Jimmy Bell,1,68700000.0,68700000
893,David Charkham,2,151127854.0,302255708
894,Simon Davis,1,68700000.0,68700000
895,Jonathan Daw,1,68700000.0,68700000
896,Pter Delmr,1,68700000.0,68700000
897,Terry Duggan,1,68700000.0,68700000
898,David Fleetwood,1,68700000.0,68700000
899,Danny Grover,1,68700000.0,68700000
900,Brian Hawley,1,68700000.0,68700000
901,David Hines,1,68700000.0,68700000
902,Tony Jackson,1,68700000.0,68700000
903,John Jordan,1,68700000.0,68700000
904,Scott MacKee,1,68700000.0,68700000
905,Laurence Marchant,1,68700000.0,68700000
906,Darryl Paes,1,68700000.0,68700000
907,Joe Refalo,1,68700000.0,68700000
908,Andy Wallace,1,68700000.0,68700000
909,Bob Wilyman,1,68700000.0,68700000
910,Richard Woods,2,36890204.5,73780409
911,Martin Amor,1,68700000.0,68700000
912,S. Newton Anderson,1,68700000.0,68700000
913,Sheraton Blount,1,68700000.0,68700000
914,Ann Bormann,1,68700000.0,68700000
915,Julie Croft,1,68700000.0,68700000
916,Penny Francis,1,68700000.0,68700000
917,Marcella Markham,1,68700000.0,68700000
918,Irena Marr,1,68700000.0,68700000
919,Krystyna Marr,1,68700000.0,68700000
920,Kim Neil,1,68700000.0,68700000
921,Jane Pearl,1,68700000.0,68700000
