,actors,number_of_movies,average_revenue,average_revenue (shifted)
20348,RZA,11,110762265.7,1218384923
20349,Joe Perry,1,95226116.0,95226116
20350,Anna Nicole Smith,2,73179357.0,146358714
20351,Alex Kubik,1,95226116.0,95226116
20352,Darren Carter,1,95226116.0,95226116
20353,Carol Duboc,1,95226116.0,95226116
20354,Minae Noji,3,214118553.7,642355661
20355,Kimberly J. Brown,3,76394231.33,229182694
20356,Brian Christensen,2,94421562.5,188843125
20357,Craig Susser,3,73561072.0,220683216
20358,George Fisher,6,87938604.5,527631627
20359,Sahar Simmons,1,95226116.0,95226116
20360,Serdar Kalsin,3,439222036.7,1317666110
20361,Russ Irwin,1,95226116.0,95226116
20362,Joey Kramer,1,95226116.0,95226116
20363,Brad Whitford,1,95226116.0,95226116
20364,Tom Hamilton,1,95226116.0,95226116
20365,Joyce Tolbert,1,95226116.0,95226116
20366,Noelle Scaggs,1,95226116.0,95226116
20367,Apl.de.Ap ,1,95226116.0,95226116
20368,Taboo,2,87463058.0,174926116
20369,Carmen Getit,1,95226116.0,95226116
20370,Steve Lucky,1,95226116.0,95226116
20371,Kimberly Wyatt,3,120650187.7,361950563
20372,Kasey Campbell,2,52431202.5,104862405
20373,Ashley Roberts,1,95226116.0,95226116
20374,Nicole Scherzinger,3,454095786.0,1362287358
20375,Shanell Woodgett,1,95226116.0,95226116
20376,Clifford McGhee,1,95226116.0,95226116
20377,Christopher Toler,2,79384722.0,158769444
20378,Ivan 'Flipz' Velez,3,90355800.67,271067402
20379,Donyelle Denise Jones,1,95226116.0,95226116
20380,Gustavo Vargas,4,179386842.0,717547368
20381,Aitana Snchez-Gijn,2,29107871.0,58215742
20382,Craig Stevenson,2,5295181.0,10590362
20383,Matthew Romero Moore,1,8203235.0,8203235
20384,James DePaul,1,8203235.0,8203235
20385,Robert Long,1,8203235.0,8203235
20386,Kristin Davis,6,226946160.0,1361676960
20387,Mario Cantone,4,243765595.0,975062380
20388,Julie Halston,1,415252786.0,415252786
20389,Lil' Kim,3,193066918.7,579200756
20390,Alexandra Fong,3,252812570.7,758437712
20391,Joseph Pupo,1,415252786.0,415252786
20392,Gilles Marini,1,415252786.0,415252786
20393,Kerry Bish,3,216227198.7,648681596
20394,Bridget Regan,2,252007223.5,504014447
20395,Amanda Setton,1,415252786.0,415252786
20396,Annaleigh Ashford,2,844735897.5,1689471795
20397,Gilbert Cruz,1,415252786.0,415252786
20398,Robert Prescott,3,98382617.0,295147851
20399,Austin Williams,1,92991835.0,92991835
20400,Jennifer Van Dyck,2,126141822.0,252283644
20401,Amy Hargreaves,2,55342755.0,110685510
20402,Susan Pellegrino,1,92991835.0,92991835
20403,Katherine Waterston,6,197265382.7,1183592296
20404,Heidi Armbruster,1,92991835.0,92991835
20405,Imogen Stubbs,1,135000000.0,135000000
20406,Greg Wise,2,147791509.0,295583018
20407,Emilie Franois,2,68389195.5,136778391
20408,Richard Lumsden,2,91792708.0,183585416
20409,Michael Schoeffling,2,29552712.0,59105424
20410,Caroline McWilliams,1,35419397.0,35419397
20411,Betsy Townsend,1,35419397.0,35419397
20412,Andre Kinney,1,22942221.0,22942221
20413,Andrew Fiscella,4,77828144.0,311312576
20414,Lorna Raver,2,56876556.5,113753113
20415,Garry Guerrier,1,22942221.0,22942221
20416,Shawn Devorse,1,22942221.0,22942221
20417,Hayden Panettiere,12,113036820.8,1356441850
20418,Sakina Jaffrey,1,49718611.0,49718611
20419,Sean O'Bryan,8,142400541.4,1139204331
20420,Ethan Browne,2,28641169.5,57282339
20421,Michael Esparza,1,49718611.0,49718611
20422,Katie Carr,2,25053305.5,50106611
20423,Shakara Ledard,2,55533204.0,111066408
20424,Jane Morris,4,135027818.3,540111273
20425,Catherine Tayrien,1,49718611.0,49718611
20426,Evan Sabara,2,123365296.5,246730593
20427,Paris Hilton,5,41082289.0,205411445
20428,Joseph Leo Bwarie,5,103215169.6,516075848
20429,Emily Hart,1,49718611.0,49718611
20430,Rowan Joseph,4,47447594.25,189790377
20431,James Fraser,3,269919495.0,809758485
20432,Christian Byers,1,46474.0,46474
20433,Lee Cormie,1,46474.0,46474
20434,Sullivan Stapleton,4,110956857.0,443827428
20435,Carole-Anne Fooks,1,46474.0,46474
20436,Olivia Colman,6,61828214.67,370969288
20437,Edward Woodward,1,80573774.0,80573774
20438,Maria Charles,1,80573774.0,80573774
20439,Trevor Nichols,1,80573774.0,80573774
20440,Elizabeth Elvin,1,80573774.0,80573774
20441,Patricia Franklin,2,63331530.5,126663061
20442,Lorraine Hilton,2,49221411.0,98442822
20443,Tim Barlow,2,173286887.0,346573774
20444,Anne Reid,2,40818013.5,81636027
20445,Ben McKay,1,80573774.0,80573774
20446,Lucy Punch,8,79625728.63,637005829
20447,Stephen Merchant,10,118771781.6,1187717816
20448,Alice Lowe,5,78135469.6,390677348
20449,Garth Jennings,3,253162838.7,759488516
20450,Edgar Wright,3,253262698.3,759788095
20451,Robert Popper,1,80573774.0,80573774
20452,Joe Cornish,1,80573774.0,80573774
20453,Chris Waitt,1,80573774.0,80573774
20454,Colin Michael Carmichael,1,80573774.0,80573774
20455,Melissa Sagemiller,2,27512247.0,55024494
20456,Omari Hardwick,5,72480146.6,362400733
20457,Bryce Cass,2,128739244.0,257478488
20458,Benny Ciaramello,2,38845143.5,77690287
20459,Shelby Fenner,2,103086611.5,206173223
20460,Peter Gail,1,55011732.0,55011732
20461,Damon Lipari,3,31755384.33,95266153
20462,Scott Mueller,1,55011732.0,55011732
20463,Travis Willingham,1,55011732.0,55011732
20464,Eric Norris,1,55011732.0,55011732
20465,Shin Ha-kyun,3,13178250.0,39534750
20466,Im Ji-eun,1,1954937.0,1954937
20467,Han Bo-bae,2,4647167.5,9294335
20468,Kim Se-dong,1,1954937.0,1954937
20469,Gi Ju-bong,1,1954937.0,1954937
20470,Duilio Del Prete,1,1500000.0,1500000
20471,Eileen Brennan,6,44613508.67,267681052
20472,Christa Lang,2,4353110.0,8706220
20473,Christine Elise,3,15440824.33,46322473
20474,Reilly Murphy,1,428868.0,428868
20475,G. Elvis Phillips,1,428868.0,428868
20476,Meg Tilly,4,11571495.0,46285980
20477,Will Sasso,6,40969094.0,245814564
20478,Jill Ritchie,2,33188373.5,66376747
20479,Lisa K. Wyatt,4,23994610.25,95978441
20480,Todd Berger,1,374743.0,374743
20481,Christopher Lambert,12,35508056.08,426096673
20482,Abbey DiGregorio,1,374743.0,374743
20483,Robert Benz,1,374743.0,374743
20484,Joe Campana,1,374743.0,374743
20485,Chris Andrew Ciulla,1,374743.0,374743
20486,Aaron Dillar,1,374743.0,374743
20487,Shari Dunn,1,374743.0,374743
20488,Michele Durrett,2,16854137.0,33708274
20489,Jon Falcone,1,374743.0,374743
20490,Jaret Gardiner,1,374743.0,374743
20491,Shannon Lee Holmes,1,374743.0,374743
20492,Katherine Kendall,2,2440332.5,4880665
20493,Jinah Kim,1,374743.0,374743
20494,Gianna Luchini,1,374743.0,374743
20495,Mike Nielsen,1,374743.0,374743
20496,Lou Taylor Pucci,6,17484015.83,104904095
20497,Kevin Robertson,1,374743.0,374743
20498,Philip Sternberg,1,374743.0,374743
20499,Aliane Baquerot,1,374743.0,374743
20500,Chi Johnson,3,45801477.0,137404431
20501,Jenna Stewart,2,10501057.5,21002115
20502,Rachael Markarian,3,16233899.67,48701699
20503,Marcy McCusker,1,374743.0,374743
20504,Dave Carlin,1,374743.0,374743
20505,Katarina Hyde,1,374743.0,374743
20506,Sharon Jordan,1,374743.0,374743
20507,Paulah May,1,374743.0,374743
20508,John T. O'Brien,1,374743.0,374743
20509,Philip Roosevelt,2,5742859.0,11485718
20510,Titus Welliver,8,201826074.0,1614608592
20511,Madeline O'Brien,1,34619699.0,34619699
20512,Slaine,4,110887210.8,443548843
20513,Matthew Maher,7,26797461.29,187582229
20514,Jean Schertler,1,309457509.0,309457509
20515,Dominique Minot,1,13474588.0,13474588
20516,Thomas Chelimsky,1,13474588.0,13474588
20517,Marc Arian,1,13474588.0,13474588
20518,Claudine Berg,1,13474588.0,13474588
20519,Marcel Bernier,1,13474588.0,13474588
20520,Albert Daumergue,1,13474588.0,13474588
20521,Raoul Delfosse,1,13474588.0,13474588
20522,Stanley Donen,1,13474588.0,13474588
20523,Jean Gold,1,13474588.0,13474588
20524,Chantal Goya,1,13474588.0,13474588
20525,Clment Harari,2,31787294.0,63574588
20526,Bernard Musson,1,13474588.0,13474588
20527,Antonio Passalia,1,13474588.0,13474588
20528,Jacques Prboist,1,13474588.0,13474588
20529,Peter Stone,1,13474588.0,13474588
20530,Michel Thomass,1,13474588.0,13474588
20531,Roger Trapp,1,13474588.0,13474588
20532,Louis Viret,1,13474588.0,13474588
20533,Maggie Castle,2,130280036.0,260560072
20534,Karen Kirschenbauer,1,159330280.0,159330280
20535,Jim Grimshaw,4,103852241.8,415408967
20536,Serge Houde,7,73735084.71,516145593
20537,Mathilda May,1,159330280.0,159330280
20538,John Cunningham,2,86506022.5,173012045
20539,Tess Harper,5,82159226.4,410796132
20540,Stephen Spinella,7,76355321.0,534487247
20541,David Hayman,7,40238611.0,281670277
20542,Steve Bassett,1,159330280.0,159330280
20543,Walt MacPherson,3,114716045.3,344148136
20544,Michael Caton-Jones,1,159330280.0,159330280
20545,Laura Viederman,1,159330280.0,159330280
20546,Peter Sullivan,1,159330280.0,159330280
20547,Gregory Porter Miller,1,159330280.0,159330280
20548,Bob Kingdom,1,159330280.0,159330280
20549,Philip Le Maistre,1,159330280.0,159330280
20550,James McCauley,2,432523856.0,865047712
20551,Victor Sobchak,2,379188120.0,758376240
20552,Boris Boscovic,1,159330280.0,159330280
20553,Ewan Bailey,1,159330280.0,159330280
20554,Danette Alberico,1,159330280.0,159330280
20555,Debra Gano,1,159330280.0,159330280
20556,Pamela Poitier,1,159330280.0,159330280
20557,Jonathan Aris,10,219869994.5,2198699945
20558,Eddie Bo Smith Jr.,6,113528072.8,681168437
20559,Dan Ziskie,3,122995293.0,368985879
20560,Gayle Jessup,1,159330280.0,159330280
20561,Bill Collins,1,159330280.0,159330280
20562,David Gene Gibbs,1,159330280.0,159330280
20563,James M. Helkey,1,159330280.0,159330280
20564,Sally Hawkins,6,155815301.5,934891809
20565,Louis Emerick,1,11850214.0,11850214
20566,Nathalie Lunghi,1,11850214.0,11850214
20567,Jackson Bond,1,15071514.0,15071514
20568,Eric Benjamin,1,15071514.0,15071514
20569,Susan Floyd,2,44840042.0,89680084
20570,Alexis Raben,1,15071514.0,15071514
20571,Adam LeFevre,15,44894619.67,673419295
20572,Malin kerman,13,86336134.54,1122369749
20573,Michael Stone Forrest,2,236217341.0,472434682
20574,Michael Michele,4,80486747.25,321946989
20575,Kurupt,2,30190064.5,60380129
20576,Master P,3,24259585.67,72778757
20577,Marin Hinkle,7,32969802.43,230788617
20578,Chapman Russell Way,1,9237470.0,9237470
20579,Jamison Jones,1,9237470.0,9237470
20580,William Utay,3,70108466.0,210325398
20581,Jerry Weintraub,10,57075916.7,570759167
20582,Michael Cera,18,78226771.67,1408081890
20583,Jennifer Hall,9,29433585.56,264902270
20584,David Julian Hirsh,8,33013805.0,264110440
20585,Rachelle Lefevre,15,109015833.5,1635237503
20586,Sean Tucker,8,33013805.0,264110440
20587,Ilona Elkin,8,33013805.0,264110440
20588,Andy Quesnel,8,33013805.0,264110440
20589,Jaye P. Morgan,8,33013805.0,264110440
20590,Michelle Sweeney,8,33013805.0,264110440
20591,Anna Silk,8,33013805.0,264110440
20592,Steve Adams,11,40598581.09,446584392
20593,Dino Tosques,8,33013805.0,264110440
20594,Linda Tomassone,8,33013805.0,264110440
20595,Madisen Beaty,2,181095071.5,362190143
20596,Taraji P. Henson,15,104571673.4,1568575101
20597,Josh Stewart,8,317739920.4,2541919363
20598,Donna DuPlantier,10,67550528.7,675505287
20599,Jacob Tolano,2,174020683.5,348041367
20600,Joeanna Sayler,2,188409401.0,376818802
20601,Rus Blackwell,7,274625777.4,1922380442
20602,Mahershala Ali,9,247001528.6,2223013757
20603,Adrian Armas,3,200218843.3,600656530
20604,David Ross Paterson,2,223238331.5,446476663
20605,Marion Zinser,2,212953450.5,425906901
20606,Edith Ivey,2,172314146.5,344628293
20607,Ted Manson,1,333932083.0,333932083
20608,Paula Gray,1,333932083.0,333932083
20609,Earl Maddox,4,123497637.5,493990550
20610,Bianca Chiminello,1,333932083.0,333932083
20611,Emma Degerstedt,1,333932083.0,333932083
20612,Clay Chamberlin,6,103859739.0,623158434
20613,Chris Stafford,1,870751.0,870751
20614,Tina Holmes,2,2891238.0,5782476
20615,Andersen Gabrych,2,808039.0,1616078
20616,Stephanie McVay,2,808039.0,1616078
20617,Lea DeLaria,2,175520404.0,351040808
20618,John Eby,1,870751.0,870751
20619,Antonio Carriero,1,870751.0,870751
20620,Jason Lockhart,1,870751.0,870751
20621,Tony Maietta,1,870751.0,870751
20622,Jeff Fryer,1,870751.0,870751
20623,Kevin Joseph Kelly,1,870751.0,870751
20624,Mark Gates,1,870751.0,870751
20625,Stevie Reese Desmond,1,870751.0,870751
20626,Craig H. Shepherd,1,870751.0,870751
20627,Doug Million,1,870751.0,870751
20628,Clay Van Sickle,1,870751.0,870751
20629,Jimmy Mack,1,870751.0,870751
20630,Justin Leach,1,870751.0,870751
20631,Jeffrey Abramson,1,870751.0,870751
20632,Don Mitri,1,870751.0,870751
20633,Mike Roth,1,870751.0,870751
20634,Adam Penton,1,870751.0,870751
20635,Tal Ben-David,1,870751.0,870751
20636,Dina Ansden,1,870751.0,870751
20637,Karen Brooks,1,870751.0,870751
20638,Shannon Constantine,1,870751.0,870751
20639,Edd Martin,1,870751.0,870751
20640,Gregg Long,1,870751.0,870751
20641,Ryan Florio,1,870751.0,870751
20642,Frank Klingshin,1,870751.0,870751
20643,Dominic Carrion,1,870751.0,870751
20644,Khalid Abdelrasoul,1,870751.0,870751
20645,Sally Law,1,870751.0,870751
20646,Jarred J. Nichols,1,870751.0,870751
20647,Jay Warshak,1,870751.0,870751
20648,Diva Delaria-Foley,1,870751.0,870751
20649,Jason Griffith,1,870751.0,870751
20650,Inger Stevens,1,6800000.0,6800000
20651,Alan Hale Jr.,1,6800000.0,6800000
20652,Michael O'Sullivan,1,6800000.0,6800000
20653,Richard Gates,1,6800000.0,6800000
20654,Bruce Scott,1,6800000.0,6800000
20655,Arlene Golonka,3,25000000.0,75000000
20656,James MacArthur,1,6800000.0,6800000
20657,Bob Steele,1,6800000.0,6800000
20658,Bert Freed,1,6800000.0,6800000
20659,Russell Thorson,1,6800000.0,6800000
20660,Ned Romero,2,6890493.0,13780986
20661,Mitsunori Isaki,1,234710455.0,234710455
20662,Akio Ohtsuka,2,126441652.0,252883304
20663,Daijiro Harada,1,234710455.0,234710455
20664,Haruko Kato,3,84462020.67,253386062
20665,Chieko Baish,1,234710455.0,234710455
20666,Matt Bushell,3,144983568.7,434950706
20667,Nick Paonessa,1,41299492.0,41299492
20668,Malcolm Goodwin,5,79525094.2,397625471
20669,Elizabeth Marvel,7,158302924.9,1108120474
20670,Hamilton Clancy,3,198554484.7,595663454
20671,Pun Bandhu,3,86218821.67,258656465
20672,Karla Mosley,1,163720069.0,163720069
20673,Carmen M. Herlihy,2,83434125.5,166868251
20674,Judy Frank,1,163720069.0,163720069
20675,Sndor Tcsy,2,124500159.5,249000319
20676,Yury Tsykun,2,82346797.0,164693594
20677,Brian O'Neill,2,82089150.5,164178301
20678,Matt Walton,3,125196851.0,375590553
20679,Lori Hammel,1,163720069.0,163720069
20680,Crystal Bock,3,90949199.33,272847598
20681,Patrick Boll,1,163720069.0,163720069
20682,Logan Kulick,1,163720069.0,163720069
20683,Robert R. Barry,1,163720069.0,163720069
20684,Ted Bouton,1,163720069.0,163720069
20685,Oliver Buckingham,1,163720069.0,163720069
20686,Michael Fawcett,1,163720069.0,163720069
20687,William Fowle,2,87746265.0,175492530
20688,Charles Gemmill,2,87593078.5,175186157
20689,Mitch Giannunzio,1,163720069.0,163720069
20690,Cliff Goulet,1,163720069.0,163720069
20691,William D. Grey,1,163720069.0,163720069
20692,Gary Henderson,1,163720069.0,163720069
20693,Ron Kidd,1,163720069.0,163720069
20694,Bill Massof,1,163720069.0,163720069
20695,Brian McKeon,1,163720069.0,163720069
20696,Ken McNeill,1,163720069.0,163720069
20697,Tim Miller,1,163720069.0,163720069
20698,Jay Parks,1,163720069.0,163720069
20699,Roger Rathburn,2,160277704.0,320555408
20700,Eric Richardson,1,163720069.0,163720069
20701,Bart Wilder,1,163720069.0,163720069
20702,Stephen Ananicz,1,163720069.0,163720069
20703,James Thomas Bligh,4,96432516.5,385730066
20704,Matt Cannon,2,104212032.0,208424064
20705,Kimberly Dorsey,2,118447317.5,236894635
20706,Liam Ferguson,2,184729391.5,369458783
20707,Matthew James Gulbranson,2,184729391.5,369458783
20708,RJ Konner,3,98245876.67,294737630
20709,Douglas Nelson,1,163720069.0,163720069
20710,Lil Rhee,1,163720069.0,163720069
20711,Patrick Michael Strange,2,194320192.0,388640384
20712,Kevin Tan,2,233432110.5,466864221
20713,Jacqueline Wright,1,163720069.0,163720069
20714,Larisa Oleynik,1,53478166.0,53478166
20715,Susan May Pratt,4,38062788.25,152251153
20716,David Leisure,1,53478166.0,53478166
20717,Greg Jackson,1,53478166.0,53478166
20718,Kyle Cease,2,59973249.0,119946498
20719,Terence Heuston,1,53478166.0,53478166
20720,Cameron Fraser,1,53478166.0,53478166
20721,Eric Riedmann,1,53478166.0,53478166
20722,Quinn Maixner,1,53478166.0,53478166
20723,Demegio Kimbrough,1,53478166.0,53478166
20724,Todd Butler,1,53478166.0,53478166
20725,Dennis Mosley,1,53478166.0,53478166
20726,Nick Vukelic,1,53478166.0,53478166
20727,Ben Laurance,1,53478166.0,53478166
20728,Aidan Kennedy,2,335139987.0,670279974
20729,Jelani Quinn,1,53478166.0,53478166
20730,Jesse Dyer,1,53478166.0,53478166
20731,Aaron Therol,1,53478166.0,53478166
20732,Heather Taylor,1,53478166.0,53478166
20733,Joshua Thorpe,1,53478166.0,53478166
20734,J.R. Johnson,1,53478166.0,53478166
20735,Wendy Gottlieb,1,53478166.0,53478166
20736,Brian Hood,1,53478166.0,53478166
20737,Travis Muller,1,53478166.0,53478166
20738,Ari Karczag,1,53478166.0,53478166
20739,Laura Kenny,1,53478166.0,53478166
20740,Alice Evans,2,118544968.5,237089937
20741,Jesper Inglis,3,302174619.3,906523858
20742,Nick Brown,1,53478166.0,53478166
20743,Monique Powell,1,53478166.0,53478166
20744,Brian Mashburn,1,53478166.0,53478166
20745,Kay Hanley,1,53478166.0,53478166
20746,Michael Eisenstein,1,53478166.0,53478166
20747,Joel Gretsch,3,180762631.3,542287894
20748,J. Michael Moncrief,1,39459427.0,39459427
20749,Wilbur Fitzgerald,9,166219636.3,1495976727
20750,E. Roger Mitchell,14,136607674.1,1912507438
20751,Trip Hamilton,1,39459427.0,39459427
20752,Michel Voletti,1,60161391.0,60161391
20753,Patrick Baladi,3,56184348.33,168553045
20754,Jay Villiers,2,32786070.0,65572140
20755,Remy Auberjonois,1,60161391.0,60161391
20756,Steven Randazzo,3,24694538.67,74083616
20757,Nilaja Sun,2,161045911.0,322091822
20758,Ty Jones,5,99572411.6,497862058
20759,Peter Jordan,2,30359695.5,60719391
20760,Axel Milberg,2,34358199.5,68716399
20761,Thomas Morris,3,148258276.7,444774830
20762,Oliver Trautwein,1,60161391.0,60161391
20763,Luigi Di Fiore,2,40564017.5,81128035
20764,Laurent Spielvogel,3,84297164.67,252891494
20765,Giorgio Lupano,1,60161391.0,60161391
20766,Dino Conti,1,60161391.0,60161391
20767,Lucian Msamati,1,60161391.0,60161391
20768,Benjamin Wandschneider,1,60161391.0,60161391
20769,Matt Patresi,3,24380731.0,73142193
20770,Naomi Krauss,1,60161391.0,60161391
20771,Luca Calvani,3,80517127.0,241551381
20772,Darren Pettie,1,60161391.0,60161391
20773,Fabrice Scott,1,60161391.0,60161391
20774,Haluk Bilginer,4,38833029.75,155332119
20775,Luca Barbareschi,1,60161391.0,60161391
20776,Felix Solis,3,42070845.67,126212537
20777,Mira Sorvino,5,10602645.8,53013229
20778,Giancarlo Giannini,6,290435944.3,1742615666
20779,Alexander Goodwin,1,25480490.0,25480490
20780,James Costa,2,13573841.0,27147682
20781,Javon Barnwell,1,25480490.0,25480490
20782,Norman Reedus,12,60427481.58,725129779
20783,Ho Pak-Kwong,1,25480490.0,25480490
20784,Glenn Bang,2,22278105.0,44556210
20785,James Kidnie,4,12901422.25,51605689
20786,Leslie Mann,20,146064695.0,2921293900
20787,Jason Segel,14,143477209.6,2008680935
20788,Maude Apatow,3,122864762.0,368594286
20789,Iris Apatow,4,127324902.0,509299608
20790,Kristen Wiig,26,267411200.5,6952691213
20791,Craig Robinson,15,137331289.6,2059969344
20792,Charlyne Yi,4,119799075.3,479196301
20793,Ken Jeong,25,243001465.6,6075036639
20794,Ana Mercedes,1,219076518.0,219076518
20795,Mo Collins,4,129167952.8,516671811
20796,Melinda Bennett,2,212187712.5,424375425
20797,Paul Feig,3,223646743.0,670940229
20798,Nautica Thorn,1,219076518.0,219076518
20799,Stormy Daniels,2,164262877.5,328525755
20800,Tami Sagher,1,219076518.0,219076518
20801,Ryan Seacrest,3,371240674.3,1113722023
20802,Dax Shepard,13,55559780.0,722277140
20803,Michelle Woods,1,219076518.0,219076518
20804,Jenna Elfman,5,58402383.8,292011919
20805,Milo Forman,1,37036004.0,37036004
20806,Marilyn Cooper,1,37036004.0,37036004
20807,Juan Piedrahita,5,56268707.0,281343535
20808,Kathleen Mackey,1,141591324.0,141591324
20809,Andrea Sheldon,1,141591324.0,141591324
20810,Phillip Glasser,2,42306685.0,84613370
20811,Amy Green,1,84542002.0,84542002
20812,Pat Musick,3,121023941.0,363071823
20813,Will Ryan,5,84735269.8,423676349
20814,Lymari Nadal,1,266465037.0,266465037
20815,Skyler Fortgang,1,266465037.0,266465037
20816,Kathleen Garrett,2,178922044.0,357844088
20817,T.I.,9,160441669.9,1443975029
20818,Tom O'Rourke,2,171375566.5,342751133
20819,Bari K. Willerford,1,266465037.0,266465037
20820,J. Kyle Manzay,1,266465037.0,266465037
20821,Quisha Saunders,1,266465037.0,266465037
20822,Robert Funaro,2,133537914.5,267075829
20823,Jon DeVries,1,266465037.0,266465037
20824,Jim R. Coleman,4,230928458.8,923713835
20825,Eddie Rouse,4,105919348.8,423677395
20826,Maryann Urbano,2,133313413.0,266626826
20827,Cedric Sanders,2,245692676.0,491385352
20828,Saycon Sengbloh,1,266465037.0,266465037
20829,Conor Romero,1,266465037.0,266465037
20830,Daniel Hilt,2,139280668.5,278561337
20831,Daniel Farcher,1,266465037.0,266465037
20832,Jason Furlani,3,234895640.0,704686920
20833,Chris McKinney,2,161248963.0,322497926
20834,Dan Moran,2,159083760.0,318167520
20835,Chuck Cooper,3,114352638.3,343057915
20836,Kevin Geer,2,167597197.5,335194395
20837,Sam Freed,1,266465037.0,266465037
20838,Joey Klein,2,231289803.5,462579607
20839,Sarah Hudnut,1,266465037.0,266465037
20840,Tyson Hall,1,266465037.0,266465037
20841,Bryant Pearson,1,266465037.0,266465037
20842,Al Santos,2,164783851.5,329567703
20843,Neville White,1,266465037.0,266465037
20844,Jeff Mantel,1,266465037.0,266465037
20845,Panama Redd,1,266465037.0,266465037
20846,Fab 5 Freddy,2,157044645.0,314089290
20847,Fatima Robinson,1,266465037.0,266465037
20848,Celestine Rae,1,266465037.0,266465037
20849,Monique Lea-Gall,2,206180729.5,412361459
20850,Shannon MacMillan,1,266465037.0,266465037
20851,Latonya Tolbert,1,266465037.0,266465037
20852,Cicily Daniels,1,266465037.0,266465037
20853,Brian Albanese,1,266465037.0,266465037
20854,Brian Keith Allen,2,133369849.0,266739698
20855,Ephraim Benton,2,150975322.5,301950645
20856,Myo Campbell,1,266465037.0,266465037
20857,Cris D'Annunzio,3,210033342.7,630100028
20858,Ernest Dancy,1,266465037.0,266465037
20859,Michael Den Dekker,1,266465037.0,266465037
20860,Mark DiConzo,1,266465037.0,266465037
20861,Kevin Van Doorslaer,2,234030672.5,468061345
20862,Monique Dupree,2,212878423.0,425756846
20863,Joseph Ferrante,1,266465037.0,266465037
20864,Eddie Goines,1,266465037.0,266465037
20865,Kelvin Hale,1,266465037.0,266465037
20866,Johnathan Hallgrey,3,345463610.0,1036390830
20867,Gabriel Hansen,1,266465037.0,266465037
20868,Hristo Hristov,2,279897055.0,559794110
20869,Atif Lanier,1,266465037.0,266465037
20870,Artie Pasquale,1,266465037.0,266465037
20871,Kevin Pinassi,1,266465037.0,266465037
20872,Paula Rittie,2,166293531.5,332587063
20873,Philippe Vonlanthen,1,266465037.0,266465037
20874,Brad Lee Wind,1,266465037.0,266465037
20875,Dolores Winn,1,266465037.0,266465037
20876,Tammy Vaughn,1,266465037.0,266465037
20877,Frances Mignano,1,266465037.0,266465037
20878,Tina Lorraine,2,222822377.5,445644755
20879,Louis Rosario,1,266465037.0,266465037
20880,Bernadette Peters,6,44976573.0,269859438
20881,Michael Conrad,1,43008075.0,43008075
20882,Mike Henry,2,27004037.5,54008075
20883,Robert Downey Sr.,2,98016108.5,196032217
20884,Nicole Ari Parker,10,43351550.2,433515502
20885,Rico Bueno,4,62404345.0,249617380
20886,Samson Barkhordarian,1,43101594.0,43101594
20887,Nina Hartley,1,43101594.0,43101594
20888,Brad Braeden,1,43101594.0,43101594
20889,Lawrence Hudd,1,43101594.0,43101594
20890,Michael Stein,2,244268647.0,488537294
20891,Patricia Forte,1,43101594.0,43101594
20892,Laurel Holloman,3,14716571.0,44149713
20893,Jason Andrews,2,30050797.0,60101594
20894,Lil' Cinderella,1,43101594.0,43101594
20895,Greg Lauren,1,43101594.0,43101594
20896,Tom Dorfmeister,1,43101594.0,43101594
20897,"Jason ""Jake"" Cross",2,21662076.5,43324153
20898,Selwyn Emerson Miller,1,43101594.0,43101594
20899,Jamielyn Lippman,1,43101594.0,43101594
20900,Missy Spell Tanner,1,43101594.0,43101594
20901,Raymond Laboriel,1,43101594.0,43101594
20902,Jon Brion,2,52280288.0,104560576
20903,Brian Kehew,1,43101594.0,43101594
20904,Robin Sharp,1,43101594.0,43101594
20905,Audrey Wiechman,1,43101594.0,43101594
20906,Tim Soronen,1,43101594.0,43101594
20907,Alexander D. Slanger,1,43101594.0,43101594
20908,Lexi Leigh,1,43101594.0,43101594
20909,Laura Gronewold,1,43101594.0,43101594
20910,Vernon Guichard II,1,43101594.0,43101594
20911,Tony Tedeschi,1,43101594.0,43101594
20912,Leslie Redden,1,43101594.0,43101594
20913,Gregory T. Daniel,1,43101594.0,43101594
20914,Jonathan Quint,1,43101594.0,43101594
20915,Michael Penn,1,43101594.0,43101594
20916,Summer Cummings,1,43101594.0,43101594
20917,Skye Blue,1,43101594.0,43101594
20918,Jack Riley,5,46248178.4,231240892
20919,Channon Roe,1,43101594.0,43101594
20920,Mike Gunther,2,100104674.5,200209349
20921,Michael Raye Smith,1,43101594.0,43101594
20922,Michael S. Stencil,1,43101594.0,43101594
20923,Dustin Courtney,1,43101594.0,43101594
20924,Jose Chaidez,1,43101594.0,43101594
20925,B. Philly Johnson,1,43101594.0,43101594
20926,Joe G.M. Chan,1,43101594.0,43101594
20927,Goliath,1,43101594.0,43101594
20928,George Anthony Rae,1,43101594.0,43101594
20929,Sharon Ferrol-Young,1,43101594.0,43101594
20930,Scott Fowler,2,51260103.5,102520207
20931,Melanie A. Gage,2,56584751.5,113169503
20932,Eddie Garcia,4,100577216.0,402308864
20933,Dee Dee Weathers,2,23583044.5,47166089
20934,Darrel W. Wright,1,43101594.0,43101594
20935,Grace Bustos,1,43101594.0,43101594
20936,Jorga Caye,1,43101594.0,43101594
20937,Tyrone D. Dixon,1,43101594.0,43101594
